"   ","2"
"  -","1"
"  e","1"
" ""¡","1"
" (q","1"
" - ","1"
" 1'","2"
" Aq","1"
" Ba","1"
" Ch","1"
" Cu","2"
" Di","1"
" El","2"
" Es","1"
" Fe","6"
" Ha","2"
" La","1"
" Le","1"
" Lo","1"
" Mi","1"
" Nu","3"
" Ov","1"
" Pa","3"
" Pe","3"
" Po","4"
" Qu","1"
" Sa","1"
" Ta","1"
" Tó","1"
" Xu","9"
" Y ","7"
" a ","21"
" ab","1"
" ac","3"
" ad","1"
" ag","3"
" al","6"
" am","2"
" an","4"
" ap","3"
" aq","6"
" ar","12"
" as","1"
" at","1"
" añ","1"
" ba","2"
" be","1"
" bi","4"
" bo","4"
" bu","2"
" ca","21"
" ce","20"
" ch","14"
" ci","1"
" cl","1"
" co","28"
" cu","11"
" có","1"
" da","7"
" de","53"
" di","10"
" do","1"
" du","1"
" dé","2"
" dí","5"
" dó","1"
" ec","2"
" el","15"
" em","3"
" en","11"
" es","8"
" fa","4"
" fl","1"
" fo","2"
" fr","1"
" fu","4"
" ga","3"
" gl","3"
" go","1"
" gr","2"
" gu","3"
" gü","4"
" ha","10"
" he","2"
" ho","1"
" hu","1"
" i ","4"
" la","29"
" le","3"
" li","1"
" lo","17"
" ma","12"
" me","4"
" mi","2"
" mo","4"
" mu","12"
" má","9"
" na","7"
" ne","13"
" ni","4"
" nu","14"
" o ","2"
" oc","3"
" om","1"
" ot","1"
" oy","1"
" pa","20"
" pe","14"
" pi","9"
" pl","3"
" po","14"
" pr","7"
" pu","2"
" pé","2"
" pó","1"
" qu","46"
" re","2"
" ri","1"
" ru","2"
" sa","9"
" se","11"
" si","12"
" so","10"
" su","1"
" sé","5"
" só","1"
" ta","19"
" te","10"
" ti","8"
" tj","4"
" to","5"
" tr","5"
" tu","6"
" un","23"
" ut","1"
" va","1"
" ve","10"
" vi","1"
" vo","1"
" vé","2"
" ví","1"
" vú","1"
" xe","2"
" y ","29"
" y,","1"
" ya","5"
" ye","15"
" yo","2"
" zu","1"
" ¡F","1"
" ¡T","4"
" ¡t","1"
" «D","1"
" «S","1"
" ¿c","1"
" Él","1"
" ár","1"
" él","2"
" ”S","1"
"! E","1"
"! ¡","2"
"! É","1"
"!» ","1"
"""¡T","1"
"'ar","1"
"'es","1"
"(qu","1"
"). ","1"
",  ","1"
", a","8"
", c","9"
", d","7"
", e","2"
", f","2"
", g","2"
", l","1"
", m","4"
", n","7"
", p","10"
", q","4"
", s","1"
", t","7"
", v","2"
", y","14"
"- ¡","1"
"-i ","1"
". A","1"
". B","1"
". C","2"
". E","1"
". H","2"
". L","2"
". N","3"
". P","9"
". Q","1"
". T","2"
". X","4"
". Y","6"
". ¡","1"
".. ","1"
"...","2"
"1'a","1"
"1'e","1"
": ""","1"
": a","1"
": f","1"
": p","1"
": ¡","1"
": «","1"
": ”","1"
"; ¿","1"
"?”.","1"
"Aqu","1"
"Bax","1"
"Chi","1"
"Cua","2"
"Dan","1"
"Dic","1"
"Dio","1"
"El ","3"
"En ","1"
"Esp","1"
"Fel","6"
"Fiz","1"
"Hab","1"
"Has","1"
"Hay","1"
"La ","1"
"Las","1"
"Leó","1"
"Lo ","1"
"Mie","1"
"Nun","3"
"Ovi","1"
"Pa ","3"
"Pel","1"
"Per","3"
"Pol","2"
"Por","2"
"Qui","1"
"Sal","1"
"Soy","2"
"Tab","1"
"Tan","1"
"Ten","1"
"Toy","1"
"Tul","1"
"Tá ","2"
"Tó ","1"
"Tú ","1"
"Un ","1"
"Xuá","9"
"Y a","1"
"Y c","1"
"Y e","1"
"Y l","1"
"Y n","1"
"Y o","1"
"Y p","1"
"Y t","1"
"Yer","1"
"Yo,","1"
"a 1","1"
"a D","1"
"a M","1"
"a O","1"
"a P","1"
"a X","2"
"a a","7"
"a b","4"
"a c","26"
"a d","22"
"a e","5"
"a f","3"
"a g","3"
"a h","3"
"a l","10"
"a m","10"
"a n","7"
"a o","2"
"a p","10"
"a q","5"
"a r","1"
"a s","8"
