" Tu","1"
" ag","1"
" ah","1"
" ai","1"
" ak","1"
" am","2"
" an","3"
" ap","1"
" ar","2"
" as","1"
" añ","1"
" ch","18"
" eí","1"
" gu","1"
" ha","10"
" he","3"
" ho","5"
" hu","2"
" ij","2"
" ik","1"
" im","1"
" ip","2"
" it","2"
" ja","1"
" je","1"
" ka","2"
" ko","3"
" ku","5"
" mb","8"
" mi","2"
" mo","2"
" mu","1"
" nd","10"
" ne","1"
" ni","1"
" og","1"
" oi","2"
" oj","6"
" ok","1"
" om","1"
" ov","1"
" pa","1"
" pe","5"
" pi","3"
" po","5"
" py","3"
" pó","2"
" ra","3"
" re","11"
" ro","2"
" ru","2"
" ry","1"
" ré","1"
" sa","5"
" sy","2"
" ta","3"
" to","3"
" um","1"
" up","1"
" vo","1"
" yv","3"
" ár","1"
" áv","1"
" ã ","1"
" ña","1"
" ñe","2"
" ñu","2"
", a","2"
", h","2"
", k","1"
", o","2"
", p","2"
", á","1"
"Aro","1"
"Ave","1"
"Che","1"
"Ha’","1"
"Ini","1"
"Ku ","1"
"Kuñ","1"
"Nda","1"
"Nde","1"
"Ojo","1"
"Pan","1"
"Reg","1"
"Rem","1"
"Sap","1"
"Tup","1"
"Yvo","1"
"a T","1"
"a a","3"
"a c","4"
"a h","5"
"a i","3"
"a k","3"
"a m","2"
"a n","4"
"a o","3"
"a p","6"
"a r","4"
"a s","2"
"a t","2"
"a u","1"
"a ã","1"
"a, ","3"
"ach","1"
"agu","6"
"aha","1"
"ahu","1"
"ahy","3"
"ahá","1"
"ahé","1"
"ai,","1"
"aig","1"
"aik","1"
"aip","1"
"ait","3"
"aja","1"
"aje","1"
"ajá","1"
"aka","1"
"aki","1"
"akã","2"
"amb","5"
"ami","1"
"amo","1"
"ana","2"
"and","1"
"ang","5"
"ani","1"
"aní","1"
"ape","2"
"apo","1"
"apy","2"
"apã","1"
"apé","1"
"apú","1"
"ara","7"
"are","1"
"arã","1"
"asa","1"
"asu","1"
"asy","2"
"asá","1"
"ata","1"
"ati","1"
"atĩ","1"
"avy","1"
"ay.","1"
"ayh","2"
"aái","1"
"añe","2"
"añý","1"
"a’a","1"
"a’e","4"
"a’y","2"
"a’é","1"
"a’ẽ","1"
"ba ","1"
"bar","1"
"ba’","2"
"bi ","1"
"bip","1"
"biv","1"
"bo ","1"
"boa","1"
"boc","1"
"bog","1"
"bok","1"
"bor","2"
"boy","1"
"buc","1"
"byj","1"
"byr","1"
"bí ","1"
"bív","1"
"cha","3"
"che","18"
"chi","1"
"chu","1"
"ché","1"
"chý","1"
"dac","1"
"de ","7"
"deh","2"
"dei","1"
"der","1"
"di.","1"
"die","1"
"dij","1"
"doj","1"
"dy ","1"
"e a","7"
"e c","4"
"e h","6"
"e i","3"
"e m","8"
"e n","3"
"e o","4"
"e p","5"
"e r","11"
"e s","1"
"e t","2"
"e u","1"
"e v","1"
"e y","1"
"e á","1"
"e ñ","2"
"e, ","2"
"egu","4"
"eha","1"
"ehe","3"
"ehu","1"
"eic","1"
"eim","1"
"eje","1"
"ejy","1"
"ejý","1"
"eka","2"
"eko","2"
"eku","1"
"ekó","1"
"emi","3"
"emy","1"
"epo","4"
"era","1"
"ere","2"
"ero","1"
"eru","1"
"erá","2"
"erã","1"
"esa","3"
"esá","1"
"esẽ","3"
"ete","4"
"eti","1"
"evé","1"
"eír","1"
"eív","2"
"eño","1"
"eñó","1"
"e’a","2"
"e’o","1"
"e’ẽ","1"
"e… ","1"
"ga ","3"
"gai","1"
"gek","1"
"gua","5"
"gue","6"
"gui","3"
"guy","2"
"guá","1"
"guã","2"
"gué","1"
"guý","2"
"gy ","1"
"ha ","7"
"ha.","1"
"hag","4"
"ham","1"
"has","1"
"ha’","1"
"he ","15"
"heg","2"
"hek","2"
"hem","1"
"her","2"
"hes","1"
"heñ","1"
"he’","1"
"he…","1"
"him","1"
"hop","1"
"hov","3"
"ho’","1"
"hu ","1"
"hug","2"
"hum","1"
"hun","1"
"hup","2"
"hy ","1"
"hy’","2"
"háp","1"
"héi","1"
"hév","1"
"húp","1"
"hýv","1"
"i a","1"
"i c","4"
"i h","4"
"i i","1"
"i j","1"
"i k","1"
"i n","3"
"i p","1"
"i r","2"
"i t","1"
"i ñ","1"
"i, ","1"
"ich","3"
"ie ","1"
"iet","1"
"igu","1"
"ija","2"
"iju","1"
"ika","1"
"iku","1"
"ikó","2"
"ima","1"
"imb","4"
"ime","1"
"imi","3"
"imo","1"
"ine","1"
"int","1"
"ipa","1"
"ipi","1"
"ipo","3"
"ipá","2"
"ire","1"
"iri","2"
"ite","1"
"ity","2"
"itã","1"
"ité","3"
"ive","2"
"ivé","1"
"iña","1"
"i’ý","1"
"ja ","2"
"jaj","1"
"jas","1"
"jat","1"
"jav","1"
"jeg","1"
"jer","2"
"je’","1"
"je…","1"
"jog","2"
"joh","1"
"jov","1"
"ju ","2"
"jua","1"
"jur","1"
"jy ","1"
"jái","1"
"júp","1"
"jýv","1"
"ka ","1"
"ka.","1"
"kaj","1"
"kam","1"
"kap","1"
"kar","1"
"kañ","1"
"ka’","1"
"ket","1"
"ki.","1"
"ko ","3"
"kov","1"
"ko’","1"
"ku ","1"
"kua","3"
"kus","1"
"kuá","1"
"kué","1"
"kuñ","1"
"ku’","1"
"ky,","1"
"káv","1"
"kã ","2"
"kér","1"
"kói","2"
"kóv","2"
"kõi","1"
"ma’","1"
"mba","4"
"mbi","3"
"mbo","8"
"mbu","1"
"mby","2"
"mbí","2"
"me ","4"
"mi ","4"
"mi.","2"
"mim","4"
"mit","1"
"mi…","1"
"mok","1"
"mom","1"
"mor","2"
"mo’","1"
"muñ","2"
"mya","1"
"na ","1"
"nam","2"
"nde","9"
"ndi","3"
"ndo","1"
"ndy","1"
"ne ","4"
"nga","3"
"nge","1"
"ngy","1"
"ni ","1"
"nim","1"
"niv","1"
"nte","1"
"ník","1"
"o c","3"
"o h","1"
"o k","3"
"o n","1"
"o o","2"
"o t","1"
"oas","1"
"och","1"
"ogu","5"
"ohu","1"
"oi ","1"
"oik","1"
"oim","1"
"oja","1"
"oje","2"
"ojo","3"
"oju","1"
"oka","2"
"oky","1"
"okó","1"
"okõ","1"
"omb","2"
"omi","1"
"omu","1"
"ope","1"
"opu","1"
"opẽ","1"
"ora","3"
"oro","1"
"ory","1"
"orã","3"
"orý","1"
"oty","5"
"otĩ","1"
"otỹ","1"
"ova","1"
"ove","2"
"ovy","2"
"ová","2"
"ové","1"
"ový","1"
"oy’","1"
"o’a","1"
"o’i","1"
"o’ã","1"
"o’ẽ","1"
"pa,","1"
"paj","1"
"pe ","11"
"pe,","2"
"pep","4"
"per","1"
"pi ","2"
"pip","1"
"pir","2"
"po ","4"
"pom","1"
"pop","1"
"por","3"
"pot","3"
"po’","1"
"pur","1"
"pya","1"
"pyk","1"
"pyt","4"
"py’","1"
"páp","1"
"páv","2"
"pã ","1"
"pãs","1"
"pã’","1"
"pév","3"
"póp","2"
"púp","1"
"pẽ ","1"
"ra ","2"
"ra,","1"
"rah","4"
"rai","2"
"rak","2"
"rap","4"
"ray","2"
"ra’","1"
"re ","6"
"re,","1"
"reh","2"
"rei","1"
"rej","1"
"rek","2"
"rem","1"
"res","5"
"reí","1"
"ri ","2"
"rip","1"
"rir","1"
"rok","1"
"rom","1"
"rop","1"
"rot","1"
"rov","1"
"ru,","1"
"rug","1"
"rup","2"
"ry.","1"
"rye","1"
"rym","1"
"ryp","1"
"ráv","2"
"rã ","1"
"rãi","1"
"rãm","2"
"rãv","1"
"rér","1"
"rõ ","2"
"rýp","1"
"rýv","1"
"sa ","2"
"sa.","1"
"sai","1"
"sap","1"
"sar","1"
"say","1"
"sa’","2"
"sug","1"
"suk","1"
"sy ","2"
"sye","1"
"syr","2"
"sái","1"
"sáp","1"
"sẽ ","1"
"sẽ.","1"
"sẽv","1"
"ta ","4"
"tam","1"
"tan","1"
"tat","1"
"tañ","1"
"te ","3"
"te,","1"
"tek","1"
"teí","1"
"ti ","1"
"ti’","1"
"tog","1"
"tor","2"
"tov","1"
"tu ","1"
"tu,","1"
"ty ","1"
"ty.","4"
"tyk","1"
"tyt","1"
"tyv","1"
"tãk","1"
"tãv","1"
"téi","1"
"tér","1"
"tév","1"
"tún","1"
"týn","1"
"týr","1"
"tĩ,","1"
"tĩn","1"
"tỹ.","1"
"u e","1"
"u k","1"
"u m","2"
"u p","2"
"u ñ","2"
"u, ","2"
"ua ","3"
"uai","1"
"uar","3"
"uas","1"
"uat","1"
"uaá","1"
"uch","1"
"ue ","2"
"uej","2"
"uem","1"
"uer","1"
"ugu","4"
"ui ","1"
"ui,","1"
"ui.","1"
"uká","1"
"umi","2"
"und","1"
"upe","1"
"upi","1"
"upy","2"
"upã","2"
"upé","1"
"ura","1"
"uru","1"
"usu","1"
"uy ","2"
"uáp","2"
"uã ","2"
"uér","1"
"uét","1"
"uña","4"
"uýr","2"
"u’i","1"
"va ","12"
"va,","8"
"var","1"
"ve ","4"
"ver","1"
"vev","1"
"vo ","1"
"voi","1"
"vot","2"
"vy ","1"
"vy,","1"
"vyi","1"
"vyt","4"
"vág","1"
"vái","1"
"vár","1"
"vég","1"
"vér","1"
"vét","1"
"výi","1"
"y h","2"
"y i","1"
"y o","1"
"y p","2"
"y r","2"
"y s","2"
"y, ","1"
"yah","1"
"yan","1"
"yet","2"
"yhu","1"
"yhú","1"
"yie","1"
"yja","1"
"yju","1"
"yjú","1"
"yku","1"
"yké","1"
"ymb","1"
"ypá","1"
"yry","2"
"yrý","1"
"yta","2"
"ytu","2"
"yty","1"
"ytã","1"
"ytú","1"
"ytý","2"
"yvo","1"
"yvy","3"
"yvá","1"
"y’a","1"
"y’o","1"
"y’ã","1"
"y’ú","1"
"ága","1"
"ái ","3"
"áin","1"
"ápe","5"
"áre","1"
"ári","1"
"áva","6"
"ã a","1"
"ã c","2"
"ã j","1"
"ã n","1"
"ã r","1"
"ã s","1"
"ãit","1"
"ãku","1"
"ãme","3"
"ãsy","1"
"ãva","2"
"ã’i","1"
"égu","1"
"éic","1"
"éin","1"
"éna","1"
"éra","2"
"éri","1"
"érõ","2"
"éta","2"
"éva","4"
"éve","1"
"í c","1"
"íke","1"
"íra","1"
"íva","3"
"ña ","1"
"ña,","1"
"ñah","1"
"ñak","1"
"ñan","1"
"ñeh","1"
"ñeñ","1"
"ñe’","2"
"ñot","1"
"ñu ","1"
"ñua","1"
"ñói","1"
"ñýn","1"
"ói ","3"
"ópe","2"
"óva","2"
"õ g","1"
"õ k","1"
"õiv","1"
"únd","1"
"úpe","3"
"úvo","1"
"ýic","1"
"ýne","2"
"ýpe","1"
"ýre","4"
"ýva","3"
"ĩ, ","1"
"ĩnd","1"
"ẽ m","1"
"ẽ p","1"
"ẽ s","1"
"ẽ y","1"
"ẽju","1"
"ẽva","1"
"’a ","3"
"’ag","1"
"’ai","1"
"’e ","3"
"’et","1"
"’i ","1"
"’im","1"
"’ip","1"
"’o ","2"
"’yj","2"
"’ãm","1"
"’én","1"
"’úv","1"
"’ýr","1"
"’ẽ ","2"
"’ẽj","1"
"… y","1"
