" 'e","7"
" DI","2"
" Da","5"
" Do","2"
" Du","2"
" HI","1"
" He","2"
" Qa","1"
" SI","1"
" Sa","1"
" Se","1"
" So","2"
" Su","1"
" bI","2"
" ch","2"
" gh","6"
" jI","2"
" ja","1"
" je","1"
" ju","1"
" lI","1"
" lo","3"
" lu","2"
" ma","2"
" mu","1"
" na","2"
" ne","2"
" nu","3"
" pa","1"
" pu","1"
" qa","5"
" qe","4"
" qo","3"
" qu","2"
" rI","1"
" ra","1"
" ta","1"
" tl","2"
" tu","2"
" vI","5"
" va","5"
" ve","2"
" wI","3"
" wo","1"
" yI","3"
" ya","1"
"' '","1"
"' D","2"
"' H","1"
"' c","1"
"' q","1"
"' t","4"
"' v","2"
"' w","2"
"' y","1"
"''e","1"
"', ","1"
"'Ha","1"
"'IQ","1"
"'Iw","1"
"'a'","3"
"'be","1"
"'bo","1"
"'ch","3"
"'e'","4"
"'eg","2"
"'ej","3"
"'el","2"
"'la","1"
"'lu","1"
"'me","5"
"'pu","1"
"'ru","1"
"'to","6"
"'wI","2"
", S","2"
", p","1"
", w","1"
", y","1"
". D","1"
"D D","1"
"D g","2"
"D q","2"
"D r","1"
"DI'","1"
"DIS","1"
"DIn","1"
"DI’","2"
"DaH","1"
"Dac","2"
"Daj","2"
"Dan","1"
"Daq","6"
"Dat","1"
"Dec","1"
"Dev","3"
"DnI","2"
"Do'","1"
"Doc","1"
"Dun","2"
"H '","1"
"H D","1"
"H c","1"
"H n","2"
"H q","1"
"H v","2"
"H'a","1"
"H'e","1"
"HDI","1"
"HDa","1"
"HIq","1"
"Ha'","1"
"Hbe","4"
"Hbo","1"
"HeH","1"
"Heg","2"
"Hey","2"
"Hja","2"
"Hla","1"
"Hmu","1"
"HnI","2"
"Hnu","1"
"Hoc","1"
"Hom","1"
"Hpa","1"
"Hqu","1"
"Hta","4"
"HvI","1"
"Hva","1"
"I' ","3"
"I'w","2"
"IHv","1"
"IQD","1"
"IQa","1"
"IQt","3"
"IS ","2"
"IS'","2"
"IS.","1"
"ISD","1"
"ISe","3"
"ISt","2"
"IbD","2"
"Iba","1"
"Ich","1"
"Ij ","2"
"Ija","1"
"Ijb","1"
"Ile","2"
"Imu","1"
"InD","1"
"Ina","1"
"Ing","2"
"Inm","1"
"Iq ","3"
"IqD","1"
"Iqe","1"
"Iqu","2"
"Ita","1"
"Itl","1"
"Itt","1"
"Iva","1"
"Iw ","1"
"Iyo","1"
"I’?","2"
"QDI","1"
"QIS","1"
"QaH","2"
"Qap","1"
"Qch","1"
"Qmo","2"
"QtI","3"
"Q’a","1"
"S '","1"
"S j","2"
"S q","1"
"S v","1"
"S'e","2"
"SDa","1"
"SIQ","1"
"San","1"
"SeH","3"
"Sen","1"
"SoH","2"
"Sta","2"
"Suq","1"
"Suv","2"
"a' ","4"
"a'l","1"
"a'm","4"
"a'p","1"
"a'r","1"
"a, ","2"
"aD ","1"
"aDe","3"
"aH ","3"
"aH'","1"
"aHb","4"
"aHl","1"
"aHm","1"
"aHp","1"
"aHt","2"
"aHv","1"
"aQa","1"
"aQc","1"
"aS ","2"
"abD","1"
"ach","2"
"agh","3"
"aj ","4"
"aj!","1"
"ajl","1"
"amv","1"
"an ","4"
"ane","1"
"ang","1"
"apt","1"
"aq ","7"
"arg","1"
"ata","1"
"atl","6"
"avl","1"
"avw","1"
"aw'","2"
"ay'","1"
"a’H","1"
"bDa","3"
"bIQ","2"
"bIl","1"
"ba'","1"
"be'","5"
"be’","1"
"blQ","1"
"bog","4"
"ch ","1"
"cha","4"
"chb","1"
"che","2"
"chm","1"
"cho","1"
"chu","3"
"e S","1"
"e' ","4"
"e'c","2"
"e't","6"
"eD ","1"
"eH ","3"
"eH'","1"
"eHD","1"
"eHb","1"
"eHn","3"
"eQm","2"
"eS ","1"
"ech","1"
"egh","7"
"ej ","6"
"ej,","1"
"el ","2"
"eln","1"
"eng","4"
"enm","1"
"eql","1"
"et ","1"
"ev ","3"
"ey ","4"
"eyS","2"
"eyl","4"
"eyw","1"
"e’.","1"
"g n","1"
"g'I","1"
"gan","2"
"gbl","1"
"gh ","6"
"gh,","1"
"gha","3"
"ghb","1"
"ghe","2"
"ghl","2"
"ghn","1"
"gho","2"
"ghp","1"
"ght","1"
"ghv","1"
"gme","1"
"h D","1"
"h l","1"
"h n","3"
"h p","1"
"h q","1"
"h v","2"
"h, ","1"
"hIn","2"
"ha,","1"
"haH","3"
"hal","1"
"haw","2"
"hbo","2"
"he'","6"
"heD","1"
"heg","2"
"hej","2"
"hen","2"
"hja","1"
"hla","1"
"hlu","1"
"hme","1"
"hnI","1"
"hoH","1"
"hoS","2"
"hpu","1"
"hta","1"
"hug","3"
"hut","3"
"hva","1"
"j '","2"
"j g","1"
"j j","1"
"j l","3"
"j m","2"
"j q","3"
"j v","1"
"j, ","1"
"jIH","1"
"jIS","1"
"jIb","1"
"jIl","1"
"jIm","1"
"jIn","1"
"jIy","1"
"ja'","1"
"jaj","4"
"jbe","1"
"je ","1"
"jlo","1"
"jup","1"
"l b","2"
"l n","1"
"l q","1"
"l w","1"
"lHo","1"
"lI'","1"
"lIS","4"
"lIj","1"
"lQ’","1"
"laH","3"
"lar","1"
"leS","1"
"len","1"
"lh ","2"
"lhI","2"
"lhe","5"
"lhj","1"
"lhu","3"
"lnI","1"
"lo'","1"
"loD","3"
"lu'","2"
"lum","2"
"mat","2"
"meH","3"
"meQ","2"
"mej","1"
"mey","6"
"mme","1"
"moH","6"
"mo’","1"
